Site,ID, Lat,Lon,Elev,Species,JanMean,FebMean,MarMean,AprMean,MayMean,JunMean,JulMean,AugMean,SepMean,OctMean,NovMean,DecMean,JanStd,FebStd,MarStd,AprStd,MayStd,JunStd,JulyStd,AugStd,SepStd,OctStd,NovStd,DecStd
   Pinnacles NM,PINN1,  ECf,     36.48,   -121.16,    302.00,      0.18,      0.21,      0.35,      0.16,      0.16,      0.13,      0.27,      0.24,      0.30,      0.31,      0.38,      0.29,      0.16,      0.15,      0.24,      0.16,      0.09,      0.07,      0.13,      0.06,      0.21,      0.23,      0.27,      0.19,
   Pinnacles NM,PINN1,  OCf,     36.48,   -121.16,    302.00,      0.72,      0.82,      1.16,      0.82,      0.70,      0.68,      0.91,      1.04,      1.28,      1.17,      1.18,      0.92,      0.62,      0.66,      0.73,      0.51,      0.44,      0.34,      0.38,      0.27,      0.90,      0.68,      0.66,      0.58,
   Pinnacles NM,PINN1, NO3f,     36.48,   -121.16,    302.00,      0.25,      1.16,      0.44,      0.46,      0.63,      0.66,      0.55,      0.46,      0.60,      0.48,      0.73,      1.04,      0.23,      1.32,      0.28,      0.29,      0.49,      0.47,      0.17,      0.22,      0.22,      0.25,      0.65,      1.33,
   Pinnacles NM,PINN1, SO4f,     36.48,   -121.16,    302.00,      0.45,      0.72,      0.88,      0.78,      1.08,      1.03,      1.84,      1.52,      1.22,      0.78,      0.45,      0.38,      0.70,      0.44,      0.33,      0.35,      0.46,      0.34,      0.63,      0.74,      0.28,      0.42,      0.22,      0.26,
     Pittsburgh,PITT1, NH4f,    268.00,      4.00,      4.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
     Pittsburgh,PITT1,  ECf,    268.00,      4.00,      4.00,      1.04,      1.11,      0.78,      1.15,      0.97,      1.53,      1.41,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,      0.60,      0.87,      0.42,      0.78,      0.45,      0.61,      0.55,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
     Pittsburgh,PITT1,  OCf,    268.00,      4.00,      4.00,      2.39,      2.28,      1.52,      2.18,      2.11,      3.07,      2.28,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,      1.62,      1.40,      0.76,      1.39,      1.17,      1.62,      0.77,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
     Pittsburgh,PITT1, NO3f,    268.00,      4.00,      4.00,      2.27,      3.01,      2.73,      1.04,      1.57,      0.53,      0.70,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,      1.27,      2.03,      2.33,      0.52,      1.28,      0.16,      0.42,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
     Pittsburgh,PITT1, SO4f,    268.00,      4.00,      4.00,      2.94,      3.42,      3.83,      3.62,      5.20,      9.17,     10.56,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,      1.08,      1.45,      1.83,      2.76,      3.18,      5.76,      4.68,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Proctor Maple R,PMRF1, NH4f,     44.53,    -72.87,    401.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Proctor Maple R,PMRF1,  ECf,     44.53,    -72.87,    401.00,      0.27,      0.16,      0.19,      0.20,      0.17,      0.52,      0.26,      0.31,      0.34,      0.24,      0.35,      0.27,      0.10,      0.10,      0.05,      0.13,      0.08,      0.24,      0.09,      0.13,      0.16,      0.22,      0.25,      0.18,
Proctor Maple R,PMRF1,  OCf,     44.53,    -72.87,    401.00,      0.85,      0.74,      0.61,      0.76,      0.58,      2.37,      1.48,      1.46,      1.27,      0.83,      1.20,      0.95,      0.22,      0.39,      0.16,      0.46,      0.30,      1.36,      0.83,      0.69,      0.43,      0.65,      0.98,      0.49,
Proctor Maple R,PMRF1, NO3f,     44.53,    -72.87,    401.00,      0.60,      0.51,      0.38,      0.25,      0.22,      0.13,      0.07,      0.08,      0.11,      0.14,      0.57,      0.94,      0.41,      0.50,      0.15,      0.22,      0.14,      0.07,      0.05,      0.02,      0.07,      0.15,      0.54,      0.61,
Proctor Maple R,PMRF1, SO4f,     44.53,    -72.87,    401.00,      1.65,      1.21,      1.29,      1.74,      1.35,      5.68,      2.04,      3.31,      4.77,      2.30,      1.59,      1.65,      1.36,      0.79,      0.52,      1.10,      0.77,      4.33,      3.46,      2.44,      6.20,      3.22,      1.41,      1.26,
Point Reyes Nat,PORE1, NH4f,     38.12,   -122.91,     97.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Point Reyes Nat,PORE1,  ECf,     38.12,   -122.91,     97.00,      0.33,      0.17,      0.08,      0.05,      0.03,      0.03,      0.05,      0.09,      0.06,      0.05,      0.26,      0.22,      0.27,      0.12,      0.05,      0.05,      0.03,      0.04,      0.02,      0.10,      0.05,      0.04,      0.25,      0.26,
Point Reyes Nat,PORE1,  OCf,     38.12,   -122.91,     97.00,      0.82,      0.76,      0.58,      0.33,      0.40,      0.44,      0.70,      0.57,      0.38,      0.44,      1.21,      0.75,      0.52,      0.43,      0.35,      0.26,      0.18,      0.25,      1.01,      0.58,      0.29,      0.31,      0.91,      0.74,
Point Reyes Nat,PORE1, NO3f,     38.12,   -122.91,     97.00,      2.23,      1.02,      0.42,      0.38,      0.47,      0.32,      0.34,      0.45,      0.56,      0.44,      0.50,      1.14,      2.36,      0.98,      0.22,      0.28,      0.40,      0.15,      0.30,      0.36,      0.38,      0.31,      0.46,      1.96,
Point Reyes Nat,PORE1, SO4f,     38.12,   -122.91,     97.00,      1.88,      0.84,      1.00,      1.04,      1.32,      1.31,      1.78,      1.37,      1.54,      0.78,      0.66,      0.93,      1.92,      0.52,      0.41,      0.49,      0.63,      0.54,      1.02,      0.70,      0.79,      0.49,      0.34,      1.22,
   Presque Isle,PRIS1, NH4f,     46.70,    -68.03,    165.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
   Presque Isle,PRIS1,  ECf,     46.70,    -68.03,    165.00,      0.44,      0.43,      0.38,      0.23,      0.17,      0.41,      0.25,      0.27,      0.32,      0.35,      0.40,      0.38,      0.13,      0.24,      0.22,      0.05,      0.09,      0.26,      0.14,      0.09,      0.10,      0.27,      0.24,      0.23,
   Presque Isle,PRIS1,  OCf,     46.70,    -68.03,    165.00,      1.06,      1.58,      0.82,      0.59,      0.57,      2.26,      1.41,      1.30,      1.16,      0.96,      1.02,      1.07,      0.32,      1.15,      0.40,      0.20,      0.26,      1.69,      0.73,      0.54,      0.44,      0.84,      0.89,      0.67,
   Presque Isle,PRIS1, NO3f,     46.70,    -68.03,    165.00,      0.39,      0.44,      0.24,      0.11,      0.09,      0.12,      0.07,      0.08,      0.07,      0.16,      0.31,      0.46,      0.20,      0.33,      0.17,      0.08,      0.06,      0.06,      0.04,      0.03,      0.02,      0.32,      0.49,      0.38,
   Presque Isle,PRIS1, SO4f,     46.70,    -68.03,    165.00,      1.40,      1.60,      1.23,      1.07,      0.99,      1.61,      1.41,      1.29,      0.97,      2.01,      0.96,      1.45,      0.49,      0.62,      0.47,      0.47,      0.53,      1.49,      1.89,      0.73,      0.76,      2.83,      0.87,      1.23,
    Puget Sound,PUSO1, NH4f,     47.57,   -122.31,     97.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
    Puget Sound,PUSO1,  ECf,     47.57,   -122.31,     97.00,      1.65,      1.92,      0.89,      0.66,      0.75,      0.80,      0.81,      1.12,      0.85,      1.04,      1.43,      1.40,      0.99,      1.12,      0.67,      0.31,      0.49,      0.35,      0.45,      0.66,      0.31,      0.54,      0.83,      1.00,
    Puget Sound,PUSO1,  OCf,     47.57,   -122.31,     97.00,      2.99,      3.98,      1.83,      1.57,      1.58,      1.47,      1.57,      1.85,      1.69,      2.34,      2.86,      2.34,      1.28,      1.76,      1.03,      0.55,      1.02,      0.59,      0.89,      1.15,      0.93,      1.20,      1.26,      1.54,
    Puget Sound,PUSO1, NO3f,     47.57,   -122.31,     97.00,      0.95,      2.06,      0.76,      0.57,      0.69,      0.66,      0.59,      0.62,      0.73,      0.83,      0.86,      1.28,      0.25,      1.26,      0.68,      0.35,      0.55,      0.29,      0.35,      0.20,      0.33,      0.40,      0.49,      0.99,
    Puget Sound,PUSO1, SO4f,     47.57,   -122.31,     97.00,      1.07,      1.42,      0.89,      1.02,      1.36,      1.36,      1.45,      1.81,      1.33,      0.88,      1.08,      0.69,      0.77,      1.02,      0.50,      0.56,      0.82,      0.61,      0.57,      0.66,      0.39,      0.40,      0.76,      0.42,
    Quaker City,QUCI1, NH4f,     39.94,    -81.34,    366.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
    Quaker City,QUCI1,  ECf,     39.94,    -81.34,    366.00,      0.58,      0.55,      0.50,      0.53,      0.55,      0.52,      0.58,      0.58,      0.64,      0.51,      0.48,      0.44,      0.36,      0.28,      0.23,      0.26,      0.29,      0.21,      0.22,      0.15,      0.17,      0.20,      0.25,      0.13,
    Quaker City,QUCI1,  OCf,     39.94,    -81.34,    366.00,      1.38,      1.42,      1.14,      1.39,      1.17,      2.15,      1.73,      1.50,      1.47,      1.18,      1.40,      1.31,      1.09,      0.83,      0.37,      0.90,      0.43,      1.24,      0.38,      0.39,      0.26,      0.46,      0.56,      0.52,
    Quaker City,QUCI1, NO3f,     39.94,    -81.34,    366.00,      1.41,      1.51,      2.77,      0.64,      0.92,      0.21,      0.27,      0.18,      0.19,      0.45,      0.64,      1.81,      1.18,      1.46,      2.26,      0.26,      1.03,      0.13,      0.16,      0.05,      0.14,      0.37,      0.58,      1.42,
    Quaker City,QUCI1, SO4f,     39.94,    -81.34,    366.00,      3.49,      3.54,      4.36,      4.07,      4.52,      9.42,      9.22,      8.72,      9.56,      4.42,      2.78,      3.07,      1.12,      1.68,      2.81,      3.03,      2.21,      5.96,      2.19,      3.54,      6.46,      3.67,      0.84,      1.39,
 Quabbin Summit,QURE1, NH4f,     42.30,    -72.33,    317.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
 Quabbin Summit,QURE1,  ECf,     42.30,    -72.33,    317.00,      0.35,      0.33,      0.27,      0.29,      0.21,      0.52,      0.41,      0.49,      0.36,      0.29,      0.61,      0.46,      0.10,      0.25,      0.14,      0.21,      0.13,      0.21,      0.20,      0.22,      0.19,      0.28,      0.38,      0.36,
 Quabbin Summit,QURE1,  OCf,     42.30,    -72.33,    317.00,      1.14,      1.13,      0.98,      0.95,      0.67,      1.99,      1.96,      1.62,      1.37,      0.77,      1.80,      1.30,      0.40,      0.64,      0.52,      0.71,      0.38,      1.11,      1.21,      0.73,      0.89,      0.55,      1.38,      0.75,
 Quabbin Summit,QURE1, NO3f,     42.30,    -72.33,    317.00,      0.72,      0.59,      0.88,      0.52,      0.18,      0.41,      0.16,      0.26,      0.18,      0.23,      0.83,      0.70,      0.56,      0.32,      0.90,      0.51,      0.11,      0.12,      0.06,      0.11,      0.10,      0.21,      0.82,      0.55,
 Quabbin Summit,QURE1, SO4f,     42.30,    -72.33,    317.00,      1.93,      1.98,      2.12,      2.21,      1.67,      5.66,      4.56,      5.27,      3.22,      1.31,      2.17,      2.22,      1.40,      0.86,      0.96,      1.44,      0.95,      3.27,      5.12,      4.15,      5.38,      1.14,      1.97,      1.17,
   Queen Valley,QUVA1, NH4f,     33.29,   -111.29,    661.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
   Queen Valley,QUVA1,  ECf,     33.29,   -111.29,    661.00,      0.23,      0.17,      0.23,      0.18,      0.22,      0.27,      0.27,      0.21,      0.14,      0.18,      0.24,      0.34,      0.07,      0.08,      0.19,      0.10,      0.10,      0.20,      0.18,      0.07,      0.08,      0.05,      0.12,      0.09,
   Queen Valley,QUVA1,  OCf,     33.29,   -111.29,    661.00,      0.68,      0.58,      0.69,      0.79,      1.01,      1.12,      1.26,      0.70,      0.50,      0.54,      0.62,      0.65,      0.26,      0.18,      0.26,      0.38,      0.55,      0.79,      0.80,      0.26,      0.28,      0.16,      0.29,      0.13,
   Queen Valley,QUVA1, NO3f,     33.29,   -111.29,    661.00,      0.50,      0.48,      1.08,      0.32,      0.33,      0.31,      0.21,      0.19,      0.16,      0.26,      0.21,      0.46,      0.56,      0.36,      1.79,      0.16,      0.15,      0.12,      0.09,      0.11,      0.10,      0.21,      0.23,      0.22,
   Queen Valley,QUVA1, SO4f,     33.29,   -111.29,    661.00,      0.92,      0.55,      0.69,      1.03,      1.25,      1.57,      1.26,      1.44,      1.43,      1.27,      1.01,      0.48,      0.30,      0.27,      0.31,      0.52,      0.34,      0.58,      0.48,      0.48,      0.64,      0.51,      0.96,      0.24,
     San Rafael,RAFA1, NH4f,    956.00,      2.00,      2.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
     San Rafael,RAFA1,  ECf,    956.00,      2.00,      2.00,      0.13,      0.13,      0.11,      0.12,      0.18,      0.15,      0.19,      0.20,      0.17,      0.22,      0.16,      0.11,      0.22,      0.09,      0.09,      0.09,      0.07,      0.11,      0.07,      0.07,      0.13,      0.11,      0.11,      0.07,
     San Rafael,RAFA1,  OCf,    956.00,      2.00,      2.00,      0.40,      0.46,      0.53,      0.65,      1.06,      1.10,      1.25,      1.28,      1.09,      1.27,      0.82,      0.41,      0.63,      0.29,      0.32,      0.36,      0.47,      0.41,      0.27,      0.37,      0.48,      0.75,      0.58,      0.22,
     San Rafael,RAFA1, NO3f,    956.00,      2.00,      2.00,      0.32,      0.93,      0.54,      0.84,      0.85,      0.80,      0.46,      0.28,      0.95,      0.52,      0.52,      0.77,      0.55,      0.91,      0.65,      0.65,      0.37,      0.49,      0.22,      0.08,      0.57,      0.28,      0.56,      1.24,
     San Rafael,RAFA1, SO4f,    956.00,      2.00,      2.00,      0.39,      0.77,      0.73,      1.03,      1.65,      1.50,      1.90,      1.68,      1.92,      0.94,      0.59,      0.44,      0.54,      0.56,      0.37,      0.42,      0.56,      0.61,      0.28,      0.34,      0.79,      0.47,      0.43,      0.39,
     Redwood NP,REDW1, NH4f,     41.56,   -124.08,    243.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
     Redwood NP,REDW1,  ECf,     41.56,   -124.08,    243.00,      0.12,      0.09,      0.05,      0.05,      0.05,      0.03,      0.05,      0.08,      0.11,      0.08,      0.16,      0.07,      0.10,      0.06,      0.04,      0.04,      0.05,      0.02,      0.03,      0.07,      0.10,      0.07,      0.16,      0.06,
     Redwood NP,REDW1,  OCf,     41.56,   -124.08,    243.00,      0.45,      0.65,      0.56,      0.39,      0.28,      0.27,      0.40,      0.65,      0.70,      0.90,      1.10,      0.49,      0.35,      0.33,      0.44,      0.23,      0.20,      0.21,      0.35,      0.76,      0.63,      0.72,      1.08,      0.43,
     Redwood NP,REDW1, NO3f,     41.56,   -124.08,    243.00,      0.13,      0.18,      0.25,      0.18,      0.20,      0.20,      0.39,      0.22,      0.27,      0.22,      0.08,      0.09,      0.18,      0.14,      0.17,      0.12,      0.13,      0.12,      0.39,      0.17,      0.23,      0.19,      0.05,      0.09,
     Redwood NP,REDW1, SO4f,     41.56,   -124.08,    243.00,      0.35,      0.36,      0.64,      0.57,      0.82,      0.76,      1.05,      0.64,      0.65,      0.46,      0.20,      0.20,      0.41,      0.24,      0.42,      0.32,      0.45,      0.38,      0.57,      0.44,      0.35,      0.32,      0.10,      0.15,
